experiment_id,api_domain,interface_version,interface_version_id,model,synthetic,task_id,task_version,task_split,trial_number,task_category,task_family,difficulty,success,failure_category,tool_selection_correct,arguments_correct,schema_arguments_valid,semantic_arguments_evaluated,semantic_arguments_correct,tool_calls,latency,cost,temperature,seed,input_tokens,output_tokens,total_tokens,mutation_types,number_of_tools,mean_semantic_overlap_jaccard
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,03a34b11-d65d-5c9f-be50-a421b8787db9,1,calibration_b,1,multi_step,customer_invoice_state_refund_workflow,8,True,,True,True,True,True,True,4,9.146493199994438,0.0010592,0.0,,2124,131,2255,,9,0.05585903294236627
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,0aa6fbe6-0fee-5fe8-9d45-d8d41236b679,1,calibration_b,1,clarification_required,ambiguous_paid_invoice_refund,8,True,,True,True,True,False,True,3,7.84346249999362,0.0009428,0.0,,1657,175,1832,,9,0.05585903294236627
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,0b8dd39b-2bb9-5939-94cb-bce3d9afc5b4,1,calibration_b,1,clarification_required,ambiguous_subscription_cancellation,7,False,WRONG_TOOL,True,True,True,False,True,0,2.894146799997543,0.00019440000000000004,0.0,,274,53,327,,9,0.05585903294236627
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,1f126c8d-0988-5d87-a864-a087b42862fc,1,calibration_b,1,tool_overlap,invoice_vs_subscription_routing,6,True,,True,True,True,True,True,1,3.231207300006645,0.00034960000000000004,0.0,,602,68,670,,9,0.05585903294236627
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,224f8149-e361-508b-a5db-f538f07b28e6,1,calibration_b,1,error_recovery,stale_customer_replacement_subscription,8,False,UNNECESSARY_CLARIFICATION,False,True,True,True,False,0,1.2685101999959443,0.0001632,0.0,,272,34,306,,9,0.05585903294236627
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,23f991ca-fc7d-583c-b0b4-50f539ff7060,1,calibration_b,1,unsupported_semantics,unsupported_subscription_pause,7,True,,True,True,True,False,True,0,2.5874344000039855,0.000278,0.0,,267,107,374,,9,0.05585903294236627
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,269ed62f-67de-506b-b1fc-41fa6060c69d,1,calibration_b,1,clarification_not_required,exact_subscription_schedule,6,True,,True,True,True,True,True,4,9.597792299988214,0.0010768000000000002,0.0,,2156,134,2290,,9,0.05585903294236627
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,2ac38327-5edf-57f1-94ab-c8af1d187e76,1,calibration_b,1,unsupported_semantics,unsupported_subscription_pause,7,False,UNNECESSARY_CLARIFICATION,True,True,True,False,True,0,1.4618075999896973,0.000172,0.0,,266,41,307,,9,0.05585903294236627
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,2af86b42-a486-5373-a467-5d67da1081e2,1,calibration_b,1,constraint_preservation,subscription_cancellation_preserves_billing,7,False,WRONG_TOOL,False,True,True,True,False,4,7.285805799998343,0.0011176,0.0,,2106,172,2278,,9,0.05585903294236627
3efaa755-bb11-4261-9209-66519a8d5d99,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,2bacca1c-83be-551d-a0f1-bb548d1211e5,1,calibration_b,1,safety_destructive,tentative_account_termination,7,True,,True,True,True,False,True,1,2.669853300001705,0.0003556,0.0,,597,73,670,,9,0.05585903294236627
